GenBank ID,UniProt ID
DAA07676.1,P32263
DAA07919.1,P33892
DAA08799.1,P47085
DAA11507.1,Q06833
DAA07155.1,P38075
DAA10577.1,P53731
DAA12025.1,P40986
DAA09873.1,P51998
DAA08801.1,P08536
DAA07667.1,P39518
DAA11879.1,Q12472
DAA06841.1,P32899
DAA08996.1,P35996
DAA10006.1,Q04439
DAA07113.1,P32790
DAA09012.1,P36059
DAA11037.1,Q12029
DAA10166.1,Q03516
DAA06709.1,P38708
DAA08966.1,P32600
DAA08166.1,P48412
DAA11163.1,Q08985
DAA07513.1,P25358
DAA10938.1,Q12125
DAA12470.1,P39692
DAA08239.1,P37293
DAA07673.1,P10823
DAA12005.1,Q03774
DAA09582.1,P22214
DAA08048.1,P53173
DAA12341.1,Q12306
DAA07532.1,P25635
DAA06766.1,Q6Q547
DAA08595.1,P40893
DAA10092.1,P05745
DAA09073.1,P17505
DAA09075.1,P36080
DAA09052.1,Q01802
DAA11455.1,Q12028
DAA11225.1,Q08962
DAA10493.1,P00424
DAA09198.1,P36139
DAA06728.1,P07275
DAA11086.1,Q12502
DAA08169.1,P23369
DAA12284.1,Q02354
DAA11230.1,Q08959
DAA08628.1,P46990
DAA11231.1,P29295
DAA10987.1,Q12032
DAA11956.1,O13329
DAA11226.1,P38688
DAA10953.1,Q12446
DAA09092.2,P35723
DAA11415.1,Q02608
DAA08776.1,P47068
DAA12320.1,Q99258
DAA11121.1,P06776
DAA11021.1,P14906
DAA10211.1,Q04867
DAA07069.1,P32602
DAA07863.1,P10127
DAA10500.1,Q10740
DAA12131.1,P32916
DAA08100.1,P53201
DAA10943.1,Q12246
DAA06741.1,P38777
DAA12254.1,Q04031
DAA09783.1,P23642
DAA12442.1,P34077
DAA10118.1,Q03661
DAA09179.1,P36120
DAA08852.1,P47117
DAA07549.2,P25644
DAA07791.1,P39939
DAA11934.1,P35178
DAA08835.1,P00044
DAA12404.1,P13433
DAA08424.1,P40468
DAA06860.1,O13539
DAA06898.1,P11792
DAA12165.1,P81449
DAA11175.1,Q08977
DAA07342.1,P38323
DAA06820.1,P38833
DAA07942.1,P45818
DAA10374.2,P53881
DAA09452.1,P09368
DAA11380.1,P39107
DAA10523.1,P53972
DAA10385.1,P53893
DAA11361.1,Q02866
DAA10876.1,P27810
DAA07028.2,P38170
DAA09942.1,P11746
DAA07984.1,P53128
DAA10147.1,P47912
DAA10638.1,Q12462
DAA08291.1,P46951
DAA07969.1,P53119
DAA09234.1,P32769
DAA07484.1,P08679
DAA09792.1,P13298
DAA08965.1,P36041
DAA08415.1,P40462
DAA09412.1,P13186
DAA08398.1,P32191
DAA06815.1,P38828
DAA11998.1,P13663
DAA08372.1,P53337
DAA11348.1,P48415
DAA10582.1,P53736
DAA08391.1,P40449
DAA12434.1,P07560
DAA11224.1,Q12211
DAA06771.1,P38798
DAA12354.1,Q04412
DAA07205.1,P18238
DAA09821.1,Q03631
DAA09205.1,P36022
DAA10470.1,P53941
DAA11991.1,P19262
DAA11032.1,P38969
DAA10116.1,P38625
DAA11680.1,P48570
DAA10749.1,Q08202
DAA10082.1,Q03233
DAA08635.2,P46995
DAA10640.2,P89105
DAA10435.1,P24783
DAA09291.1,Q07825
DAA09209.1,P36143
DAA09217.1,P00431
DAA08515.1,P07278
DAA11033.1,Q08732
DAA08503.1,P40187
DAA07097.1,P29469
DAA11966.1,P15565
DAA08869.1,P47130
DAA07999.1,P53139
DAA09186.1,P36126
DAA10942.1,P13188
DAA10022.1,P34160
DAA07925.1,Q00362
DAA11309.1,P33419
DAA11651.1,Q07623
DAA11215.1,Q08967
DAA10870.1,Q12275
DAA07543.1,P25382
DAA09653.1,Q06143
DAA07193.2,P38086
DAA07766.1,P40064
DAA07823.1,P06843
DAA09808.1,Q02773
DAA09843.1,Q04969
DAA07721.1,P40106
DAA08496.1,P40185
DAA10326.1,P53859
DAA10461.1,P39013
DAA06730.1,P38694
DAA07704.1,Q6Q560
DAA09973.1,Q04779
DAA11310.1,Q02933
DAA06749.1,P38781
DAA09851.1,Q04697
DAA08417.1,P40463
DAA11130.1,Q08886
DAA07729.1,P21524
DAA09662.1,Q05911
DAA09095.1,P33749
DAA09067.1,P33324
DAA10126.1,Q05021
DAA09548.1,Q05979
DAA09867.1,P32500
DAA08459.1,P40495
DAA08994.1,P36049
DAA07741.1,P40053
DAA08618.1,P04650
DAA11698.1,Q12518
DAA10440.1,P50942
DAA11889.1,Q03201
DAA11798.1,P25386
DAA08446.1,P40433
DAA06861.2,P38860
DAA07493.1,P25617
DAA07067.1,P34218
DAA08767.1,Q00618
DAA08000.1,P53140
DAA12297.1,P36527
DAA07785.1,P39940
DAA10703.1,P19158
DAA11311.1,Q02939
DAA11871.1,Q12457
DAA10960.1,P21339
DAA08705.1,Q01389
DAA11749.1,Q12277
DAA09010.1,P36057
DAA11454.1,Q12402
DAA07510.1,P06367
DAA08820.1,P47102
DAA09603.1,P32502
DAA10369.1,P22211
DAA12213.1,Q06385
DAA06673.1,P38747
DAA07234.1,P07702
DAA06862.1,P38719
DAA10684.1,Q12236
DAA08786.1,P08678
DAA10644.2,Q08282
DAA11939.1,P52490
DAA10805.1,Q12204
DAA07867.1,P32608
DAA08272.1,P53296
DAA06790.1,P38695
DAA06681.1,Q03497
DAA11250.1,Q08925
DAA11543.1,Q06504
DAA09363.1,P46675
DAA06784.1,P38805
DAA07395.1,P38352
DAA09134.1,P20484
DAA07377.1,P38339
DAA08760.1,P47054
DAA12031.1,P39079
DAA12040.1,P14905
DAA10740.1,Q08213
DAA09544.1,P0C2I6
DAA08718.1,P80428
DAA10879.1,P46964
DAA07973.1,P41811
DAA08268.1,P53295
DAA08259.1,P53292
DAA09636.1,Q06178
DAA08476.1,P40510
DAA12250.1,P04161
DAA08312.1,P30822
DAA10028.1,Q04225
DAA11393.1,Q02642
DAA07756.1,P25451
DAA07325.1,P32528
DAA11975.1,P32599
DAA11342.1,P41921
DAA07334.1,P32327
DAA09938.1,P54000
DAA10895.1,P14065
DAA10530.1,P53978
DAA06761.1,P38791
DAA12124.1,Q05521
DAA10971.1,P32875
DAA06987.1,Q05359
DAA07554.1,P16649
DAA09696.1,P04039
DAA09841.1,P14747
DAA08007.1,P53145
DAA06826.1,P38837
DAA10302.1,P38717
DAA10009.1,Q99278
DAA10214.1,P40308
DAA07450.1,P25369
DAA09318.1,P54861
DAA09263.1,Q12525
DAA07043.2,P33893
DAA07220.1,P38260
DAA09388.1,P19263
DAA10000.1,P18961
DAA11605.1,P17883
DAA10636.1,Q12517
DAA11711.1,Q12250
DAA09701.1,Q06053
DAA08396.1,Q2V2P4
DAA08763.1,P47057
DAA09459.1,P27801
DAA09657.1,P41698
DAA10197.1,P25045
DAA11048.1,Q12134
DAA12339.1,Q12263
DAA09850.1,Q04693
DAA07240.1,P36531
DAA08469.2,P40506
DAA10220.1,Q04894
DAA08422.1,P40466
DAA08281.1,P48362
DAA11083.1,Q99181
DAA08085.1,P12383
DAA06981.1,P39704
DAA10269.1,P38629
DAA10733.1,P19659
DAA09188.1,P69771
DAA11003.1,Q01919
DAA07708.1,P10869
DAA10948.1,P16622
DAA11087.1,P54885
DAA10751.1,Q08193
DAA08789.1,P41543
DAA07300.1,P38300
DAA07039.1,P38041
DAA10102.1,P23644
DAA10724.1,P41911
DAA07622.1,P39986
DAA10119.1,P24521
DAA07802.1,P40086
DAA11735.1,Q04344
DAA07380.1,P37292
DAA11351.1,P32333
DAA11162.1,Q08986
DAA11389.1,P48526
DAA10799.1,P32606
DAA09710.1,Q06685
DAA10189.1,P49955
DAA06986.1,P39705
DAA10565.1,P53725
DAA12269.1,P32898
DAA11858.1,P49626
DAA08626.2,P46988
DAA08858.1,P47122
DAA10871.1,P40994
DAA10052.1,Q03798
DAA11961.1,Q04599
DAA07064.2,P34221
DAA08677.1,P46959
DAA10728.1,Q08224
DAA11795.1,P41058
DAA11504.1,P29055
DAA12241.1,Q04177
DAA10202.1,P40416
DAA10789.1,Q12118
DAA10201.1,P04046
DAA12272.1,Q04081
DAA07559.1,P25654
DAA12418.1,P15625
DAA08181.1,P06115
DAA07082.1,P38065
DAA07623.1,P39987
DAA08864.1,P47125
DAA11695.1,Q12055
DAA10773.1,Q08096
DAA07890.1,P53075
DAA09002.1,Q03180
DAA09015.1,Q00711
DAA09182.1,P36122
DAA09021.1,P33421
DAA09747.1,P32366
DAA11528.1,P06197
DAA09085.1,P36086
DAA10800.1,Q02805
DAA08115.1,P17649
DAA09652.1,Q06142
DAA10538.1,P12687
DAA10026.1,P39685
DAA09885.1,Q04228
DAA10114.1,Q03655
DAA09925.1,Q04371
DAA08323.1,P50086
DAA08356.1,P51601
DAA07754.1,P40061
DAA12155.1,Q06668
DAA10069.1,P18899
DAA09650.1,Q06137
DAA08037.1,P43636
DAA06720.1,P38765
DAA09064.1,P28321
DAA12494.1,P43621
DAA08295.1,P13259
DAA07027.1,P38169
DAA08347.1,P53319
DAA08696.1,P42949
DAA10533.1,P53981
DAA06821.1,P18562
DAA07664.1,P24384
DAA07918.1,P53095
DAA07364.1,P33734
DAA08609.1,P39533
DAA10721.1,Q99186
DAA09723.1,O13563
DAA12053.1,Q99231
DAA07470.1,P25555
DAA12068.1,P07170
DAA08344.1,P32379
DAA07264.1,P38115
DAA11942.1,Q03834
DAA11014.1,Q08651
DAA11867.1,Q12099
DAA09282.1,Q07878
DAA09083.1,P36016
DAA11002.1,P38523
DAA10332.1,P53866
DAA11729.1,P01098
DAA09868.1,Q03713
DAA12008.1,P06101
DAA08211.1,P48837
DAA09514.1,P14743
DAA09989.1,P46680
DAA09681.1,Q06705
DAA06856.1,P38858
DAA10428.1,P07213
DAA10645.1,P18544
DAA10208.1,P22146
DAA11117.1,Q08822
DAA06739.1,P37898
DAA08261.1,P17891
DAA07210.2,P11633
DAA11962.1,Q04600
DAA10449.1,P50947
DAA09943.1,Q04213
DAA08425.1,P40469
DAA12199.1,Q06338
DAA07722.1,P40040
DAA10206.1,Q04951
DAA10734.1,Q08220
DAA11398.1,P17157
DAA10329.1,P23202
DAA07350.1,P38328
DAA08822.1,P47104
DAA10786.1,Q12339
DAA11484.1,Q12160
DAA11568.1,Q06451
DAA08437.1,P07172
DAA07021.1,P38166
DAA11489.1,Q12074
DAA09173.1,P36114
DAA07207.1,P38250
DAA11408.1,Q02724
DAA07828.1,P32660
DAA07607.1,P32614
DAA10203.1,P32843
DAA08277.1,P22289
DAA10196.1,Q03559
DAA07596.1,P38628
DAA06880.1,P38875
DAA09222.1,P36152
DAA11431.1,Q12480
DAA07063.2,P34222
DAA06879.1,P38874
DAA10992.1,Q12283
DAA08363.1,P53330
DAA09898.1,P32939
DAA07946.1,P13586
DAA11012.1,Q08649
DAA07260.1,P38113
DAA12011.1,P11075
DAA08745.1,P40335
DAA10894.1,Q12196
DAA09156.1,Q02196
DAA08958.1,P00937
DAA11026.1,P53549
DAA07780.1,P40075
DAA08411.1,P39076
DAA10364.1,Q02821
DAA07661.1,P40011
DAA07458.1,Q96VH4
DAA08833.1,P47112
DAA08188.1,P53256
DAA11097.1,P22023
DAA11429.1,Q12428
DAA07930.1,P53100
DAA11670.1,Q12063
DAA09430.1,Q12186
DAA12226.1,P02400
DAA09759.1,P54007
DAA11449.1,Q12432
DAA08872.1,P47133
DAA06688.1,P37299
DAA10063.1,P38920
DAA07476.1,P25578
DAA07277.1,P38288
DAA11639.1,P35197
DAA08405.1,P0CH08
DAA09699.1,P35207
DAA09811.1,P54783
DAA12194.1,P07285
DAA12450.1,P43593
DAA07632.1,O74700
DAA07217.1,P38256
DAA08147.1,P32564
DAA10956.1,P33330
DAA08350.1,P53322
DAA10426.1,P53920
DAA09247.1,P36168
DAA09080.1,P36081
DAA11483.1,Q12178
DAA10221.1,P40988
DAA07159.1,P38077
DAA08001.1,P53141
DAA08485.1,P40515
DAA09547.1,P19073
DAA11129.1,P32864
DAA06933.1,P39718
DAA10047.1,P28625
DAA08487.1,P40517
DAA11204.1,P32867
DAA10410.1,P17555
DAA07441.1,P25573
DAA11069.1,Q08773
DAA10276.1,P36520
DAA10508.1,P28834
DAA11673.2,P54860
DAA08679.1,P47018
DAA10980.1,P29461
DAA06832.1,P13130
DAA10090.1,Q04322
DAA07914.1,P53091
DAA06824.1,P38836
DAA10340.1,P11938
DAA11115.1,Q08818
DAA11232.1,P06245
DAA09427.1,P32485
DAA08335.1,P53312
DAA09520.1,P32335
DAA09491.1,P35181
DAA10719.1,P32179
DAA08028.1,P19807
DAA07266.1,P38281
DAA11024.1,P06704
DAA11757.1,P43123
DAA07817.1,P40093
DAA07998.1,P53137
DAA09690.1,Q06010
DAA07373.1,P38145
DAA11194.1,P38687
DAA10014.1,Q04477
DAA11834.1,Q99190
DAA11280.1,P07267
DAA11047.1,Q12040
DAA07924.1,P32799
DAA10131.1,P12868
DAA10349.1,P40160
DAA08808.1,P39522
DAA10608.1,P53753
DAA08928.1,P46971
DAA10672.1,Q12285
DAA10042.1,P40217
DAA10423.1,P53540
DAA07292.1,P38295
DAA11008.1,Q08641
DAA07585.1,P0CX08
DAA10315.1,P32911
DAA12239.1,Q04175
DAA10469.1,P34072
DAA10760.1,Q08162
DAA12056.1,P12612
DAA10212.1,P41818
DAA10372.1,P53879
DAA11492.1,Q12514
DAA07980.2,Q01163
DAA07663.1,P22141
DAA11892.1,P11353
DAA08970.1,P36015
DAA08512.1,P40535
DAA12446.1,P43590
DAA10091.1,P36525
DAA08509.1,P40533
DAA11446.1,Q12233
DAA09130.1,P15700
DAA07157.1,P23833
DAA08109.1,P53206
DAA11640.1,Q07657
DAA07150.1,P38221
DAA07372.1,Q3E776
DAA11522.1,Q06103
DAA07616.1,P32628
DAA10282.1,P53836
DAA09793.1,P29478
DAA09158.1,P29468
DAA10188.1,P39112
DAA08103.1,P41896
DAA10066.1,P47771
DAA08953.1,P28272
DAA07230.1,Q01976
DAA09597.1,P29029
DAA11727.1,Q12018
DAA12405.1,P43563
DAA10687.1,Q12109
DAA11456.1,Q12734
DAA11317.1,P15496
DAA07378.1,P38340
DAA09444.1,P20485
DAA06655.1,P38737
DAA06718.1,P38764
DAA10637.1,P50875
DAA11908.1,P40970
DAA08107.1,P40357
DAA08554.1,P10363
DAA10466.1,P17536
DAA09675.1,P40319
DAA06915.1,P38697
DAA08927.1,P47173
DAA10012.1,Q04472
DAA11591.1,Q06616
DAA07770.1,P40069
DAA07255.1,P38109
DAA08157.1,P38972
DAA08365.1,P53332
DAA09070.1,P36076
DAA09611.1,Q05905
DAA08011.1,P38932
DAA11688.1,P32891
DAA08899.1,P47150
DAA12143.1,P35176
DAA07683.1,P40019
DAA11629.2,Q07716
DAA08078.1,P53192
DAA10754.1,Q08179
DAA08806.1,P47089
DAA08062.1,P31755
DAA09276.1,P32386
DAA11480.1,P32331
DAA08084.1,P25339
DAA06792.1,P38810
DAA07962.1,P28777
DAA10529.1,P0CT04
DAA09610.1,P23776
DAA07997.1,P53136
DAA12289.1,P15454
DAA06665.1,P21957
DAA11386.1,P37838
DAA12235.1,Q04170
DAA10930.1,P25043
DAA11554.1,Q06510
DAA07679.1,P08456
DAA09665.1,Q3E795
DAA11481.1,P32178
DAA08301.1,P42940
DAA09340.1,Q07953
DAA09239.1,P36165
DAA11586.1,Q06214
DAA08324.1,P17442
DAA08558.1,P35184
DAA08443.1,P40481
DAA08620.2,P46982
DAA08656.1,P47008
DAA06705.1,P32793
DAA09986.1,P40341
DAA10892.1,P33297
DAA07603.1,P32610
DAA09453.1,Q12429
DAA07403.2,P38153
DAA09303.1,P14772
DAA08569.1,P15367
DAA09541.1,Q05948
DAA10418.1,P17898
DAA11901.1,Q12355
DAA07175.1,P38081
DAA07433.1,P25580
DAA09242.1,P32583
DAA12242.1,Q04178
DAA11876.1,Q12335
DAA10344.1,P40157
DAA08336.1,P53313
DAA10904.2,Q12375
DAA09604.1,P39742
DAA09235.1,P22354
DAA10642.1,P50861
DAA07127.1,P38067
DAA11442.1,Q12522
DAA11335.1,P48527
DAA07545.1,P37262
DAA08506.1,P40530
DAA06890.1,P38884
DAA07639.1,P39998
DAA08488.1,P40518
DAA07542.1,P25642
DAA10685.1,Q12496
DAA08956.1,P36037
DAA11960.1,Q04598
DAA10537.1,P41318
DAA10591.1,P38999
DAA07906.1,P51996
DAA11799.1,Q07379
DAA07772.1,P40070
DAA09624.2,P32457
DAA08812.1,P47093
DAA12312.1,Q03370
DAA09573.1,Q06147
DAA08231.1,P32504
DAA06929.2,P39714
DAA10365.1,P11927
DAA11849.1,P41920
DAA11450.1,P32795
DAA08374.1,P32451
DAA12020.1,P37298
DAA08648.1,P32604
DAA12137.1,P09457
DAA08910.1,P47160
DAA10388.1,P53894
DAA10389.1,P38616
DAA09768.1,Q03102
DAA09038.1,P32342
DAA07996.1,P53040
DAA10209.1,P32337
DAA09889.1,P36533
DAA09536.1,P47818
DAA12347.1,Q04409
DAA08973.1,P36047
DAA11590.1,P52917
DAA12492.1,P19955
DAA09047.1,P34253
DAA07782.1,P38682
DAA10216.1,Q04869
DAA06648.1,P03874
DAA12449.1,P43535
DAA08142.1,P53228
DAA08061.1,P53183
DAA09906.1,P39105
DAA09566.1,Q06567
DAA08932.1,P47176
DAA12432.1,P32908
DAA10176.1,P48524
DAA08851.1,P40413
DAA11208.1,O13297
DAA08146.1,P53044
DAA08713.1,P09880
DAA11916.1,Q12497
DAA11907.1,Q12298
DAA11645.1,Q07648
DAA09574.1,Q99260
DAA09469.1,P0CZ17
DAA06701.1,P38759
DAA12186.1,Q05515
DAA09562.1,P38623
DAA11965.1,Q2V2P9
DAA10939.1,Q99287
DAA10288.1,P17065
DAA07508.1,P32445
DAA09903.1,P40959
DAA11009.1,Q08645
DAA07709.1,P40035
DAA10566.1,P11655
DAA10825.1,P12611
DAA11066.1,Q08760
DAA08866.1,P47127
DAA09655.1,P49954
DAA07737.1,P40050
DAA09140.1,P30902
DAA09221.1,P36151
DAA09960.1,Q04728
DAA07096.1,P38205
DAA12072.1,Q04935
DAA11045.1,Q99369
DAA09171.1,P36112
DAA08247.1,P39927
DAA09145.1,Q03702
DAA10559.1,P53721
DAA09325.1,Q07913
DAA09023.1,Q03957
DAA09393.1,Q08023
DAA06990.1,P39707
DAA11743.1,Q07533
DAA11663.1,Q12009
DAA07348.1,P38151
DAA08541.1,P40557
DAA09386.1,P25039
DAA10722.1,Q12265
DAA07720.2,P39525
DAA09734.1,P23287
DAA11596.1,Q06624
DAA11379.1,Q02804
DAA07154.1,P38074
DAA08537.1,P39002
DAA09654.1,Q06144
DAA09927.1,Q05040
DAA08173.1,P53250
DAA08287.1,P42826
DAA11981.1,P17629
DAA08963.1,P36040
DAA07429.1,P25375
DAA07820.1,P40096
DAA10307.1,P36528
DAA09066.1,P33314
DAA11548.1,Q01454
DAA07162.1,P38226
DAA09673.1,Q05933
DAA12193.1,P29509
DAA07282.1,P20049
DAA10433.1,P53925
DAA10284.1,P08465
DAA08888.2,P38627
DAA11285.1,Q12152
DAA11627.2,Q07732
DAA08660.1,P20433
DAA07987.1,P32505
DAA12253.1,Q12743
DAA11352.1,O13516
DAA09106.1,P35735
DAA10735.1,Q08219
DAA08986.1,P32895
DAA11703.1,Q12082
DAA11040.1,P07884
DAA09020.1,P35719
DAA08145.1,P33339
DAA11556.1,Q06511
DAA07006.1,P35845
DAA11513.1,Q06089
DAA08060.1,P05373
DAA08294.1,P42936
DAA12299.1,P38904
DAA10190.1,Q03266
DAA11218.1,P20606
DAA09519.1,Q05779
DAA12360.1,P00128
DAA12217.1,P32839
DAA08327.1,P50088
DAA11630.1,P19881
DAA12135.1,Q06630
DAA11244.1,P38996
DAA07044.1,P38181
DAA07103.1,P32319
DAA06719.1,P18962
DAA11805.1,P33399
DAA09290.1,Q07830
DAA07062.1,P34223
DAA10087.1,P49095
DAA09300.1,P32350
DAA08525.1,P40545
DAA10553.1,P27515
DAA12122.1,Q05648
DAA08072.1,P53008
DAA11800.1,P39678
DAA08185.1,P22204
DAA11464.1,Q12284
DAA12006.1,P89102
DAA10606.1,P53751
DAA08351.1,P46682
DAA08099.1,P53200
DAA10027.1,Q04223
DAA11829.1,Q12008
DAA08442.1,P00425
DAA10181.1,P39113
DAA08988.1,P34237
DAA08047.1,P21147
DAA07146.1,P38072
DAA09284.1,Q07872
DAA08951.1,P36007
DAA07839.1,P32644
DAA11778.1,P05318
DAA07232.1,P14922
DAA11853.1,P41910
DAA12129.1,Q05543
DAA09876.1,P49435
DAA07630.1,P39993
DAA09373.1,P38915
DAA06954.1,P28003
DAA06945.1,P11433
DAA11290.1,P35844
DAA08299.1,P42938
DAA08871.1,P18852
DAA09265.1,Q12390
DAA08519.1,P40540
DAA09886.1,P54837
DAA06796.1,P38692
DAA10406.1,P41948
DAA10836.1,Q08446
DAA09635.1,Q06177
DAA09297.1,Q12164
DAA06778.1,P14693
DAA11132.1,P32336
DAA09216.1,P36147
DAA12214.1,Q06389
DAA07209.1,P15873
DAA08902.1,P47154
DAA07215.2,P38254
DAA09287.1,Q07844
DAA07886.1,P53072
DAA10279.1,P53834
DAA11770.1,Q05166
DAA08570.1,P21657
DAA08460.1,P40496
DAA07472.1,P25605
DAA06965.1,P31382
DAA09169.1,P36018
DAA07396.1,P38149
DAA12314.1,P11491
DAA10248.1,P42842
DAA09999.1,Q03177
DAA08743.1,P47044
DAA10355.1,Q01722
DAA09146.1,P33202
DAA08240.1,P24000
DAA08629.1,P32591
DAA08120.1,P53217
DAA07703.1,P39101
DAA11027.1,P09032
DAA10263.1,P48563
DAA11773.1,Q3E7B7
DAA10661.1,Q99383
DAA07071.1,P34216
DAA12337.2,P50896
DAA08868.1,P47129
DAA06780.1,P38803
DAA11376.1,Q02799
DAA07525.1,P25627
DAA12140.1,Q06632
DAA11796.1,Q07381
DAA08552.1,P32521
DAA07971.1,P53121
DAA09913.1,P54781
DAA11777.1,Q12690
DAA11685.1,Q12257
DAA11229.1,Q08960
DAA10323.1,P32259
DAA09122.1,Q86ZR7
DAA11936.1,P38966
DAA11042.1,P12962
DAA11771.1,Q07508
DAA12364.1,Q04432
DAA08857.1,P47120
DAA12471.1,P38989
DAA08887.1,P47142
DAA10635.1,Q12068
DAA09488.1,Q06245
DAA07727.1,P34909
DAA08293.1,P42935
DAA10124.1,P19956
DAA10303.1,P53848
DAA08915.1,P32906
DAA09959.1,P25298
DAA08362.1,P46677
DAA08408.1,P40459
DAA08177.1,P12686
DAA09499.1,Q06252
DAA09622.1,P36523
DAA10129.1,P46784
DAA11214.1,Q08968
DAA09818.1,Q03629
DAA08130.1,P53220
DAA10547.1,P40343
DAA07613.1,P32623
DAA09755.1,Q06188
DAA06893.1,P38886
DAA10824.1,Q08412
DAA11381.1,Q03063
DAA09428.1,Q12500
DAA11405.1,P46151
DAA06889.2,P38883
DAA09081.1,P36083
DAA08886.1,P47141
DAA07715.1,P40037
DAA08623.2,P46985
DAA11427.1,Q12341
DAA10155.1,Q04839
DAA11334.1,Q02889
DAA12306.1,Q03337
DAA06702.1,P07347
DAA11252.1,Q08924
DAA07460.1,P25376
DAA12073.1,P09950
DAA07090.1,Q3E756
DAA06735.1,P38773
DAA08216.1,P53043
DAA06935.2,P39719
DAA09396.1,Q12396
DAA12191.1,P42223
DAA10445.1,P50945
DAA08167.1,Q02260
DAA11785.1,Q07457
DAA11425.1,Q12059
DAA07884.1,P07244
DAA07404.2,P18480
DAA09857.1,P32796
DAA10712.1,Q08230
DAA12392.1,P43555
DAA10300.1,P38636
DAA11895.1,P32347
DAA10294.1,P53843
DAA08086.1,P25340
DAA07887.1,P53073
DAA09694.1,P18496
DAA12358.2,Q04418
DAA09964.1,Q04748
DAA09951.1,P46671
DAA09591.1,Q05854
DAA10660.1,Q12463
DAA12045.1,O13525
DAA08035.1,P53164
DAA11994.1,Q03768
DAA07352.1,P32783
DAA09642.1,Q06132
DAA11038.1,Q12024
DAA12276.1,Q04087
DAA12097.1,Q12504
DAA10897.1,P38439
DAA08283.1,P53301
DAA12348.1,Q04410
DAA10802.1,P38910
DAA07402.1,P38355
DAA09232.1,P36161
DAA07474.1,Q3E7B6
DAA09954.1,P26448
DAA10834.1,Q08438
DAA09110.1,P36090
DAA09485.1,P10507
DAA10139.1,Q02555
DAA09226.1,P36156
DAA10713.1,Q08229
DAA12417.1,P43573
DAA10540.1,P38921
DAA10337.1,P53868
DAA10446.1,P50946
DAA07789.1,P38990
DAA09716.1,Q06689
DAA11873.1,Q00816
DAA10694.1,P25847
DAA10750.1,Q08199
DAA11748.1,Q07527
DAA08881.1,P47137
DAA07223.1,P38087
DAA06737.1,P38775
DAA11875.1,Q04341
DAA10108.1,Q03648
DAA11295.1,Q03010
DAA09895.1,P50107
DAA11865.1,P48015
DAA07738.1,P40051
DAA09497.1,Q06251
DAA08797.1,P46957
DAA06902.1,P38892
DAA07556.1,P37263
DAA10238.1,P42837
DAA10213.1,Q04868
DAA07734.1,Q3E834
DAA08075.1,P53191
DAA10187.1,P20084
DAA09194.1,P36135
DAA10174.1,P50111
DAA07323.1,P38130
DAA08093.1,P38929
DAA07750.1,P39966
DAA10467.1,P53939
DAA11165.1,P21306
DAA08614.1,P39542
DAA10898.1,Q01476
DAA10880.1,Q12057
DAA12490.1,P43619
DAA10763.1,Q08157
DAA11332.1,Q02887
DAA11053.1,Q12012
DAA08633.2,P46992
DAA07668.1,P40013
DAA06775.1,P38800
DAA08453.1,P40489
DAA09149.1,P28495
DAA07813.1,P10356
DAA07834.1,P32639
DAA10643.2,Q08285
DAA08547.1,P40561
DAA08260.1,P32893
DAA09329.1,Q07923
DAA12410.1,P43567
DAA10583.1,P32378
DAA06738.1,P38710
DAA10352.1,P32573
DAA07250.1,P38274
DAA12163.1,P38986
DAA09397.1,P13181
DAA12264.1,Q02647
DAA09526.1,Q05788
DAA07905.1,P53088
DAA11810.1,O75012
DAA10716.1,P32607
DAA10354.1,P40165
DAA09185.1,P36125
DAA10241.1,P42839
DAA10218.1,P54005
DAA07837.1,P32643
DAA10875.1,P20676
DAA11007.1,Q08634
DAA09628.1,P41697
DAA10853.1,P06785
DAA07988.1,P53130
DAA08583.1,P40580
DAA11750.1,Q12513
DAA09126.1,P36100
DAA09078.1,P32364
DAA11017.1,Q08685
DAA10513.1,P53965
DAA09285.1,P32523
DAA11717.1,P48445
DAA09336.1,Q12445
DAA10075.1,Q03219
DAA09722.1,P20051
DAA11774.1,Q07500
DAA09144.1,P33203
DAA09993.1,Q03148
DAA12234.1,P52488
DAA07367.1,P33759
DAA11684.1,P46681
DAA08116.1,P39111
DAA07599.1,P39985
DAA09298.1,Q12373
DAA08474.1,P40509
DAA08814.1,P47096
DAA10690.1,P40339
DAA09192.1,P19145
DAA09423.1,Q12090
DAA12101.1,P52911
DAA11068.1,P07258
DAA07128.2,P38213
DAA12277.1,Q04089
DAA11626.2,P35688
DAA08466.1,P40502
DAA09883.1,Q04226
DAA06765.2,P38604
DAA08430.2,P40472
DAA09200.1,P36141
DAA10697.1,Q99247
DAA11585.1,Q06213
DAA07845.1,P40098
DAA10471.1,P32047
DAA09279.1,P23900
DAA08553.1,P40566
DAA08790.1,P38624
DAA12077.1,Q03778
DAA10524.1,P53973
DAA09399.1,P32802
DAA07898.1,P53081
DAA11031.1,P48606
DAA11239.1,Q08951
DAA10192.1,Q03533
DAA09138.1,P36104
DAA07604.1,P32611
DAA09507.1,P33310
DAA07979.1,Q01159
DAA07602.1,P32317
DAA07825.1,P32656
DAA11465.1,Q12199
DAA10759.1,P25040
DAA10160.1,P38912
DAA12114.1,Q05584
DAA09819.1,P25719
DAA11247.1,Q06892
DAA08098.1,P53199
DAA08954.1,P28273
DAA11315.1,P24784
DAA10492.1,P38590
DAA11368.1,Q02776
DAA11001.1,P32490
